FECHA PRECIP  EVAP   TMAX   TMIN
01/10/1990  0     Nulo    23     12 
02/10/1990  0     Nulo    21     14 
03/10/1990  0     Nulo    19     12 
04/10/1990  0.2   Nulo    22     11 
05/10/1990  0     Nulo    20     14 
06/10/1990  0     Nulo    19     12 
07/10/1990  0     Nulo    19     11 
08/10/1990  0     Nulo    18     11 
09/10/1990  0     Nulo    20     9 
10/10/1990  0     Nulo    19     12 
11/10/1990  0     Nulo    18     11 
12/10/1990  0     Nulo    18     10 
13/10/1990  0     Nulo    19     11 
14/10/1990  0     Nulo    19     11 
15/10/1990  0     Nulo    19     12 
16/10/1990  0     Nulo    20     12 
17/10/1990  0     Nulo    19     12 
18/10/1990  0     Nulo    19     12 
19/10/1990  0     Nulo    19     11 
20/10/1990  0     Nulo    18     11 
21/10/1990  0     Nulo    19     10 
22/10/1990  0     Nulo    18     11 
23/10/1990  0     Nulo    18     11 
24/10/1990  0     Nulo    16     11 
25/10/1990  0     Nulo    17     8 
26/10/1990  0     Nulo    14     9 
27/10/1990  0     Nulo    13     6 
28/10/1990  0     Nulo    12     5 
29/10/1990  0     Nulo    14     4 
30/10/1990  0.6   Nulo    18     6 
31/10/1990  0     Nulo    16     8 
01/11/1990  0.4   Nulo    20     8 
02/11/1990  0.6   Nulo    18     12 
03/11/1990  0     Nulo    12     6 
04/11/1990  0     Nulo    11     0 
05/11/1990  0     Nulo    17     2 
06/11/1990  0     Nulo    16     8 
07/11/1990  0     Nulo    12     6 
08/11/1990  0     Nulo    6     -2 
09/11/1990  0     Nulo    9     -2 
10/11/1990  0     Nulo    9      2 
11/11/1990  0     Nulo    9      2 
12/11/1990  0     Nulo    10     1 
13/11/1990  0     Nulo    9      2 
14/11/1990  0     Nulo    10     0 
15/11/1990  0     Nulo    10     2 
16/11/1990  0     Nulo    10     2 
17/11/1990  0     Nulo    11     2 
18/11/1990  0     Nulo    10     3 
19/11/1990  0.7   Nulo    20     2 
20/11/1990  0     Nulo    17     12 
21/11/1990  0     Nulo    18     8 
22/11/1990  0     Nulo    19     10 
23/11/1990  0     Nulo    17     10 
24/11/1990  1.2   Nulo    17     9 
25/11/1990  0     Nulo    18     9 
26/11/1990  0     Nulo    14     10 
27/11/1990  0     Nulo    12     3 
28/11/1990  0     Nulo    8      3 
29/11/1990  0     Nulo    8     -2 
30/11/1990  0     Nulo    8      0 
01/12/1990  0     Nulo    8     -1 
02/12/1990  0     Nulo    8      0 
03/12/1990  0     Nulo    6     -2 
04/12/1990  0     Nulo    6     -2 
05/12/1990  0     Nulo    7     -2 
06/12/1990  0     Nulo    5     -1 
07/12/1990  0     Nulo    2     -5 
08/12/1990  0     Nulo    5     -7 
09/12/1990  0     Nulo    7     -4 
10/12/1990  0     Nulo    10    -1 
11/12/1990  0     Nulo    10     2 
12/12/1990  0     Nulo    9      2 
13/12/1990  0     Nulo    10     1 
14/12/1990  3.5   Nulo    10     2 
15/12/1990  4     Nulo    9      2 
16/12/1990  0     Nulo    6      1 
17/12/1990  0     Nulo    2     -2 
18/12/1990  0     Nulo    3     -6 
19/12/1990  0     Nulo    11    -6 
20/12/1990  0     Nulo    11     3 
21/12/1990  0     Nulo    11     4 
22/12/1990  0     Nulo    8      4 
23/12/1990  0     Nulo    7     -6 
24/12/1990  0     Nulo    7     -2 
25/12/1990  2     Nulo    12    -2 
26/12/1990  2.5   Nulo    12     4 
27/12/1990  2     Nulo    12     4 
28/12/1990  0     Nulo    10     4 
29/12/1990  0     Nulo    8      2 
30/12/1990  0     Nulo    8      0 
31/12/1990  0     Nulo    7      0 
01/01/1991  0     Nulo    8     -1 
02/01/1991  0     Nulo    12    -1 
03/01/1991  2     Nulo    12     4 
04/01/1991  0     Nulo    10     4 
05/01/1991  0     Nulo    10     2 
06/01/1991  0     Nulo    8      2 
07/01/1991  0     Nulo    6     -1 
08/01/1991  0     Nulo    10    -2 
09/01/1991  0     Nulo    10     2 
10/01/1991  0     Nulo    6      1 
11/01/1991  0     Nulo    6     -5 
12/01/1991  0     Nulo    4     -2 
13/01/1991  0     Nulo    4     -4 
14/01/1991  0     Nulo    5     -4 
15/01/1991  0     Nulo    6     -4 
16/01/1991  2     Nulo    6     -2 
17/01/1991  1     Nulo    6     -1 
18/01/1991  0     Nulo    5     -1 
19/01/1991  0     Nulo    5     -4 
20/01/1991  0     Nulo    6     -4 
21/01/1991  0     Nulo    6     -3 
22/01/1991  0     Nulo    6     -2 
23/01/1991  0     Nulo    5     -2 
24/01/1991  0     Nulo    6     -4 
25/01/1991  0     Nulo    6     -3 
26/01/1991  0     Nulo    6     -3 
27/01/1991  0     Nulo    6     -2 
28/01/1991  0     Nulo    5     -2 
